algorithm,online_total_ms,full_total_ms
ML-KEM-512,0.0183898619999997,0.0270445439999996
ML-KEM-768,0.0275338300000001,0.0418349100000001
ML-KEM-1024,0.0396783939999999,0.0610496799999998
