algorithm,keygen_ops_s,encaps_ops_s,decaps_ops_s,online_ops_s,full_ops_s
ML-KEM-512,115544.39550754281,112874.05332531732,104927.05995427388,54377.78706550469,36976.03479651995
ML-KEM-768,69924.78889706232,75603.00198351864,69896.62708234381,36318.95744253511,23903.481565993512
ML-KEM-1024,46791.75600382704,52436.1301716447,48525.84782662918,25202.632949307437,16380.102238046182
