algorithm,keygen_norm,encaps_norm,decaps_norm,public_key_norm,secret_key_norm,ciphertext_norm,online_total_norm,full_total_norm
ML-KEM-512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ML-KEM-768,1.6524096437050104,1.492983748845366,1.5011748682903028,1.48,1.4705882352941178,1.4166666666666667,1.4972287448378105,1.546889087869284
ML-KEM-1024,2.4693323220888006,2.152600753637517,2.1622921526101355,1.96,1.9411764705882353,2.0416666666666665,2.1576232600331937,2.2573750919964004
